"fecha","hora","contexto","componente","nombre","user id","descripcion","module id"
"01/03/2017","10:49","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","298219","viewed the page with id '5292' for the wiki with course","2669837"
"01/03/2017","10:49","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","298219","viewed the page with id '5291' for the wiki with course","2669837"
"01/03/2017","10:48","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","298219","viewed the page with id '5292' for the wiki with course","2669837"
"01/03/2017","10:48","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","298219","viewed the page with id '5289' for the wiki with course","2669837"
"01/03/2017","10:48","Wiki: Apuntes de clase","Wiki","MÃ³dulo de curso visto","298219","viewed the 'wiki' activity with course","2669837"
"01/03/2017","10:48","Curso: FC Grupo E","Sistema","Curso visto","298219","viewed the section number '5' of the course","NULL"
"01/03/2017","10:48","Curso: FC Grupo E","Sistema","Curso visto","298219","viewed the section number '1' of the course","NULL"
"01/03/2017","10:48","Curso: FC Grupo E","Sistema","Curso visto","298219","viewed the section number '4' of the course","NULL"
"01/03/2017","10:48","Curso: FC Grupo E","Sistema","Curso visto","298219","viewed the section number '3' of the course","NULL"
"01/03/2017","10:48","Curso: FC Grupo E","Sistema","Curso visto","298219","viewed the section number '1' of the course","NULL"
"01/03/2017","10:48","Curso: FC Grupo E","Sistema","Curso visto","298219","viewed the section number '-1' of the course","NULL"
"01/03/2017","10:03","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '5' of the course","NULL"
"01/03/2017","10:03","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '4' of the course","NULL"
"01/03/2017","10:03","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '3' of the course","NULL"
"01/03/2017","10:03","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '2' of the course","NULL"
"01/03/2017","10:03","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '1' of the course","NULL"
"01/03/2017","10:03","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '-1' of the course","NULL"
"28/02/2017","10:39","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","68626","viewed the page with id '5292' for the wiki with course","2669837"
"28/02/2017","10:38","Wiki: Apuntes de clase","Wiki","Historia de la wiki vista","68626","viewed the history for the page with id '5292' for the wiki with course","2669837"
"28/02/2017","10:38","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","68626","viewed the page with id '5292' for the wiki with course","2669837"
"28/02/2017","10:38","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","68626","viewed the page with id '5289' for the wiki with course","2669837"
"28/02/2017","10:38","Wiki: Apuntes de clase","Wiki","MÃ³dulo de curso visto","68626","viewed the 'wiki' activity with course","2669837"
"28/02/2017","10:38","Curso: FC Grupo E","Sistema","Curso visto","68626","viewed the section number '5' of the course","NULL"
"28/02/2017","10:38","Curso: FC Grupo E","Sistema","Curso visto","68626","viewed the section number '-1' of the course","NULL"
"28/02/2017","10:35","Curso: FC Grupo E","Sistema","Perfil de usuario visto","67834","viewed the profile for the user with id '383185' in the course","NULL"
"28/02/2017","10:35","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:35","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:35","Curso: FC Grupo E","Sistema","Curso visto","67834","viewed the section number '-1' of the course","NULL"
"28/02/2017","10:33","Archivo: Enunciado Examen de Febrero 2017","Recurso","MÃ³dulo de curso visto","298219","viewed the 'resource' activity with course","2713516"
"28/02/2017","10:32","Curso: FC Grupo E","Sistema","Curso visto","298219","viewed the section number '-1' of the course","NULL"
"28/02/2017","10:05","Curso: FC Grupo E","Sistema","Perfil de usuario visto","67834","viewed the profile for the user with id '395023' in the course","NULL"
"28/02/2017","10:05","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:05","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:04","Curso: FC Grupo E","Sistema","Perfil de usuario visto","67834","viewed the profile for the user with id '397503' in the course","NULL"
"28/02/2017","10:04","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:04","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:04","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:04","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:03","Curso: FC Grupo E","Sistema","Perfil de usuario visto","67834","viewed the profile for the user with id '324451' in the course","NULL"
"28/02/2017","10:03","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:03","Curso: FC Grupo E","Sistema","Perfil de usuario visto","67834","viewed the profile for the user with id '391283' in the course","NULL"
"28/02/2017","10:03","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:02","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:02","Curso: FC Grupo E","Sistema","Perfil de usuario visto","67834","viewed the profile for the user with id '398543' in the course","NULL"
"28/02/2017","10:02","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:01","Curso: FC Grupo E","Sistema","Perfil de usuario visto","67834","viewed the profile for the user with id '395596' in the course","NULL"
"28/02/2017","10:01","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:01","Curso: FC Grupo E","Sistema","Lista de usuarios vista","67834","viewed the list of users in the course","NULL"
"28/02/2017","10:01","Curso: FC Grupo E","Sistema","Curso visto","67834","viewed the section number '-1' of the course","NULL"
"27/02/2017","10:24","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","391864","viewed the page with id '5292' for the wiki with course","2669837"
